     Epoch[0] Iteration[500/620], entropy: 0.3102, loss: 0.3102, lr: 9.05e-04
     Epoch[0] Iteration[510/620], entropy: 0.2557, loss: 0.2557, lr: 9.05e-04
     Epoch[0] Iteration[520/620], entropy: 0.2644, loss: 0.2644, lr: 3.45e-04
     Epoch[0] Iteration[530/620], entropy: 0.2877, loss: 0.2877, lr: 0.00e+00
     Epoch[0] Iteration[540/620], entropy: 0.2340, loss: 0.2340, lr: 3.45e-04
     Epoch[0] Iteration[550/620], entropy: 0.2340, loss: 0.2340, lr: 9.05e-04
     Epoch[0] Iteration[560/620], entropy: 0.2467, loss: 0.2467, lr: 9.05e-04
     Epoch[0] Iteration[570/620], entropy: 0.2570, loss: 0.2570, lr: 3.45e-04
     Epoch[0] Iteration[580/620], entropy: 0.3400, loss: 0.3400, lr: 0.00e+00
     Epoch[0] Iteration[590/620], entropy: 0.2189, loss: 0.2189, lr: 3.45e-04
     Epoch[0] Iteration[600/620], entropy: 0.1840, loss: 0.1840, lr: 9.05e-04
     Epoch[0] Iteration[610/620], entropy: 0.2712, loss: 0.2712, lr: 9.05e-04
     Epoch[0] Iteration[620/620], entropy: 0.3563, loss: 0.3563, lr: 3.45e-04
     Averaged stats: entropy: 0.3563, loss: 0.3563, lr: 3.45e-04
     itm tta time 0:01:53
### TTA Eval Score: 
+-------+--------+--------+--------+--------+-------+
| epoch |   R1   |   R5   |  R10   |  mAP   |  mINP |
+-------+--------+--------+--------+--------+-------+
|  -999 | 60.641 | 77.509 | 83.268 | 35.542 | 6.004 |
|   0   | 61.654 | 76.965 | 82.699 | 35.761 | 5.890 |
+-------+--------+--------+--------+--------+-------+
     logs:  {'epo': 0, 'R1': 61.654, 'R5': 76.965, 'R10': 82.699, 'mAP': 35.761, 'mINP': 5.89, 'entropy': 0.291077722224497, 'loss': 0.291077722224497, 'lr': 0.0005040322580645162}
     Epoch[1] Iteration[10/620], entropy: 0.2820, loss: 0.2820, lr: 0.00e+00
     Epoch[1] Iteration[20/620], entropy: 0.2588, loss: 0.2588, lr: 3.45e-04
     Epoch[1] Iteration[30/620], entropy: 0.2008, loss: 0.2008, lr: 9.05e-04
     Epoch[1] Iteration[40/620], entropy: 0.2725, loss: 0.2725, lr: 9.05e-04
     Epoch[1] Iteration[50/620], entropy: 0.3039, loss: 0.3039, lr: 3.45e-04
     Epoch[1] Iteration[60/620], entropy: 0.2746, loss: 0.2746, lr: 0.00e+00
     Epoch[1] Iteration[70/620], entropy: 0.2052, loss: 0.2052, lr: 3.45e-04
     Epoch[1] Iteration[80/620], entropy: 0.2102, loss: 0.2102, lr: 9.05e-04
     Epoch[1] Iteration[90/620], entropy: 0.2687, loss: 0.2687, lr: 9.05e-04
     Epoch[1] Iteration[100/620], entropy: 0.2208, loss: 0.2208, lr: 3.45e-04
     Epoch[1] Iteration[110/620], entropy: 0.2755, loss: 0.2755, lr: 0.00e+00
     Epoch[1] Iteration[120/620], entropy: 0.2140, loss: 0.2140, lr: 3.45e-04
     Epoch[1] Iteration[130/620], entropy: 0.2829, loss: 0.2829, lr: 9.05e-04
     Epoch[1] Iteration[140/620], entropy: 0.3520, loss: 0.3520, lr: 9.05e-04
     Epoch[1] Iteration[150/620], entropy: 0.3641, loss: 0.3641, lr: 3.45e-04
     Epoch[1] Iteration[160/620], entropy: 0.2693, loss: 0.2693, lr: 0.00e+00
     Epoch[1] Iteration[170/620], entropy: 0.2295, loss: 0.2295, lr: 3.45e-04
     Epoch[1] Iteration[180/620], entropy: 0.3373, loss: 0.3373, lr: 9.05e-04
     Epoch[1] Iteration[190/620], entropy: 0.2322, loss: 0.2322, lr: 9.05e-04
     Epoch[1] Iteration[200/620], entropy: 0.3207, loss: 0.3207, lr: 3.45e-04
     Epoch[1] Iteration[210/620], entropy: 0.3247, loss: 0.3247, lr: 0.00e+00
     Epoch[1] Iteration[220/620], entropy: 0.3108, loss: 0.3108, lr: 3.45e-04
     Epoch[1] Iteration[230/620], entropy: 0.2644, loss: 0.2644, lr: 9.05e-04
     Epoch[1] Iteration[240/620], entropy: 0.2859, loss: 0.2859, lr: 9.05e-04
     Epoch[1] Iteration[250/620], entropy: 0.3795, loss: 0.3795, lr: 3.45e-04
     Epoch[1] Iteration[260/620], entropy: 0.3564, loss: 0.3564, lr: 0.00e+00
     Epoch[1] Iteration[270/620], entropy: 0.3761, loss: 0.3761, lr: 3.45e-04
     Epoch[1] Iteration[280/620], entropy: 0.2331, loss: 0.2331, lr: 9.05e-04
     Epoch[1] Iteration[290/620], entropy: 0.3662, loss: 0.3662, lr: 9.05e-04
     Epoch[1] Iteration[300/620], entropy: 0.3319, loss: 0.3319, lr: 3.45e-04
     Epoch[1] Iteration[310/620], entropy: 0.2700, loss: 0.2700, lr: 0.00e+00
     Epoch[1] Iteration[320/620], entropy: 0.2555, loss: 0.2555, lr: 3.45e-04
     Epoch[1] Iteration[330/620], entropy: 0.1962, loss: 0.1962, lr: 9.05e-04
     Epoch[1] Iteration[340/620], entropy: 0.2944, loss: 0.2944, lr: 9.05e-04
     Epoch[1] Iteration[350/620], entropy: 0.2195, loss: 0.2195, lr: 3.45e-04
     Epoch[1] Iteration[360/620], entropy: 0.3076, loss: 0.3076, lr: 0.00e+00
     Epoch[1] Iteration[370/620], entropy: 0.2992, loss: 0.2992, lr: 3.45e-04
     Epoch[1] Iteration[380/620], entropy: 0.2095, loss: 0.2095, lr: 9.05e-04
     Epoch[1] Iteration[390/620], entropy: 0.2632, loss: 0.2632, lr: 9.05e-04
     Epoch[1] Iteration[400/620], entropy: 0.2677, loss: 0.2677, lr: 3.45e-04
     Epoch[1] Iteration[410/620], entropy: 0.2726, loss: 0.2726, lr: 0.00e+00
     Epoch[1] Iteration[420/620], entropy: 0.2130, loss: 0.2130, lr: 3.45e-04
     Epoch[1] Iteration[430/620], entropy: 0.2836, loss: 0.2836, lr: 9.05e-04
     Epoch[1] Iteration[440/620], entropy: 0.1871, loss: 0.1871, lr: 9.05e-04
     Epoch[1] Iteration[450/620], entropy: 0.2645, loss: 0.2645, lr: 3.45e-04
     Epoch[1] Iteration[460/620], entropy: 0.2781, loss: 0.2781, lr: 0.00e+00
     Epoch[1] Iteration[470/620], entropy: 0.2541, loss: 0.2541, lr: 3.45e-04
     Epoch[1] Iteration[480/620], entropy: 0.2371, loss: 0.2371, lr: 9.05e-04
     Epoch[1] Iteration[490/620], entropy: 0.1997, loss: 0.1997, lr: 9.05e-04
     Epoch[1] Iteration[500/620], entropy: 0.3985, loss: 0.3985, lr: 3.45e-04
     Epoch[1] Iteration[510/620], entropy: 0.3271, loss: 0.3271, lr: 0.00e+00
     Epoch[1] Iteration[520/620], entropy: 0.2636, loss: 0.2636, lr: 3.45e-04
     Epoch[1] Iteration[530/620], entropy: 0.3052, loss: 0.3052, lr: 9.05e-04
     Epoch[1] Iteration[540/620], entropy: 0.2474, loss: 0.2474, lr: 9.05e-04
     Epoch[1] Iteration[550/620], entropy: 0.2737, loss: 0.2737, lr: 3.45e-04
     Epoch[1] Iteration[560/620], entropy: 0.3866, loss: 0.3866, lr: 0.00e+00
     Epoch[1] Iteration[570/620], entropy: 0.2644, loss: 0.2644, lr: 3.45e-04
     Epoch[1] Iteration[580/620], entropy: 0.2429, loss: 0.2429, lr: 9.05e-04
     Epoch[1] Iteration[590/620], entropy: 0.2519, loss: 0.2519, lr: 9.05e-04
     Epoch[1] Iteration[600/620], entropy: 0.1918, loss: 0.1918, lr: 3.45e-04
     Epoch[1] Iteration[610/620], entropy: 0.3050, loss: 0.3050, lr: 0.00e+00
     Epoch[1] Iteration[620/620], entropy: 0.3012, loss: 0.3012, lr: 3.45e-04
     Averaged stats: entropy: 0.3012, loss: 0.3012, lr: 3.45e-04
     itm tta time 0:01:54
### TTA Eval Score: 
+-------+--------+--------+--------+--------+-------+
| epoch |   R1   |   R5   |  R10   |  mAP   |  mINP |
+-------+--------+--------+--------+--------+-------+
|  -999 | 60.641 | 77.509 | 83.268 | 35.542 | 6.004 |
|   0   | 61.654 | 76.965 | 82.699 | 35.761 | 5.890 |
|   1   | 61.563 | 76.960 | 82.683 | 35.854 | 5.994 |
+-------+--------+--------+--------+--------+-------+
     logs:  {'epo': 1, 'R1': 61.563, 'R5': 76.96, 'R10': 82.683, 'mAP': 35.854, 'mINP': 5.994, 'entropy': 0.27638388088633936, 'loss': 0.27638388088633936, 'lr': 0.0004894434113356839}
     Epoch[2] Iteration[10/620], entropy: 0.3959, loss: 0.3959, lr: 9.05e-04
     Epoch[2] Iteration[20/620], entropy: 0.3087, loss: 0.3087, lr: 9.05e-04
     Epoch[2] Iteration[30/620], entropy: 0.3134, loss: 0.3134, lr: 3.45e-04
