     Epoch[0] Iteration[490/1240], entropy: 0.5675, loss: 1.9442, lr: 2.87e-06
     Epoch[0] Iteration[500/1240], entropy: 0.8720, loss: 2.2425, lr: 8.64e-06
     Epoch[0] Iteration[510/1240], entropy: 0.7660, loss: 2.1045, lr: 9.38e-06
     Epoch[0] Iteration[520/1240], entropy: 0.5072, loss: 1.9739, lr: 4.06e-06
     Epoch[0] Iteration[530/1240], entropy: 0.5664, loss: 2.0070, lr: 3.94e-08
     Epoch[0] Iteration[540/1240], entropy: 0.7098, loss: 2.0320, lr: 2.87e-06
     Epoch[0] Iteration[550/1240], entropy: 0.5818, loss: 1.9224, lr: 8.64e-06
     Epoch[0] Iteration[560/1240], entropy: 0.6537, loss: 1.9721, lr: 9.38e-06
     Epoch[0] Iteration[570/1240], entropy: 0.7973, loss: 2.0530, lr: 4.06e-06
     Epoch[0] Iteration[580/1240], entropy: 0.6439, loss: 1.9247, lr: 3.94e-08
     Epoch[0] Iteration[590/1240], entropy: 0.6177, loss: 1.9742, lr: 2.87e-06
     Epoch[0] Iteration[600/1240], entropy: 0.6049, loss: 2.0834, lr: 8.64e-06
     Epoch[0] Iteration[610/1240], entropy: 0.7077, loss: 2.0342, lr: 9.38e-06
     Epoch[0] Iteration[620/1240], entropy: 0.9486, loss: 2.3042, lr: 4.06e-06
     Epoch[0] Iteration[630/1240], entropy: 0.5268, loss: 1.9852, lr: 3.94e-08
     Epoch[0] Iteration[640/1240], entropy: 0.6483, loss: 1.9450, lr: 2.87e-06
     Epoch[0] Iteration[650/1240], entropy: 0.3689, loss: 1.7433, lr: 8.64e-06
     Epoch[0] Iteration[660/1240], entropy: 0.4014, loss: 1.7654, lr: 9.38e-06
     Epoch[0] Iteration[670/1240], entropy: 0.6906, loss: 2.1559, lr: 4.06e-06
     Epoch[0] Iteration[680/1240], entropy: 0.6196, loss: 2.0405, lr: 3.94e-08
     Epoch[0] Iteration[690/1240], entropy: 0.5873, loss: 1.9605, lr: 2.87e-06
     Epoch[0] Iteration[700/1240], entropy: 0.7140, loss: 2.1181, lr: 8.64e-06
     Epoch[0] Iteration[710/1240], entropy: 0.5530, loss: 1.8162, lr: 9.38e-06
     Epoch[0] Iteration[720/1240], entropy: 0.4887, loss: 1.9058, lr: 4.06e-06
     Epoch[0] Iteration[730/1240], entropy: 0.6943, loss: 1.9820, lr: 3.94e-08
     Epoch[0] Iteration[740/1240], entropy: 0.4736, loss: 1.8060, lr: 2.87e-06
     Epoch[0] Iteration[750/1240], entropy: 0.6561, loss: 2.0407, lr: 8.64e-06
     Epoch[0] Iteration[760/1240], entropy: 0.8617, loss: 2.0707, lr: 9.38e-06
     Epoch[0] Iteration[770/1240], entropy: 0.7058, loss: 2.0666, lr: 4.06e-06
     Epoch[0] Iteration[780/1240], entropy: 0.5481, loss: 2.0035, lr: 3.94e-08
     Epoch[0] Iteration[790/1240], entropy: 0.5666, loss: 1.9516, lr: 2.87e-06
     Epoch[0] Iteration[800/1240], entropy: 0.6225, loss: 2.0244, lr: 8.64e-06
     Epoch[0] Iteration[810/1240], entropy: 0.8026, loss: 2.2461, lr: 9.38e-06
     Epoch[0] Iteration[820/1240], entropy: 0.6660, loss: 2.0834, lr: 4.06e-06
     Epoch[0] Iteration[830/1240], entropy: 0.4674, loss: 1.9653, lr: 3.94e-08
